datetime,user,url,urlcategory,action,threatname,useragent,sourceip,requestmethod,responsesize,status
2026-05-07T08:00:01Z,alice@corp.local,https://docs.google.com/document/abc,Office365,Allowed,-,Mozilla/5.0,10.0.0.12,GET,4523,200
2026-05-07T08:00:05Z,bob@corp.local,https://github.com/org/repo,Code/Tools,Allowed,-,Mozilla/5.0,10.0.0.13,GET,12044,200
2026-05-07T08:00:11Z,carol@corp.local,https://news.ycombinator.com/,News,Allowed,-,Mozilla/5.0,10.0.0.14,GET,8120,200
2026-05-07T08:01:02Z,dave@corp.local,https://malicious.example.com/payload.exe,Malware,Blocked,Trojan.Generic,Wget/1.20,10.0.0.99,GET,0,403
2026-05-07T08:01:14Z,dave@corp.local,https://malicious.example.com/payload2.exe,Malware,Blocked,Trojan.Generic,Wget/1.20,10.0.0.99,GET,0,403
2026-05-07T08:02:03Z,eve@corp.local,https://intranet.corp.local/api/users,Business,Allowed,-,Mozilla/5.0,10.0.0.15,GET,2342,200
2026-05-07T08:03:00Z,scanner,https://target.example.com/admin,Suspicious,Allowed,-,sqlmap/1.6,10.0.0.250,GET,1,500
2026-05-07T08:03:01Z,scanner,https://target.example.com/admin/login,Suspicious,Allowed,-,sqlmap/1.6,10.0.0.250,GET,1,500
2026-05-07T08:03:02Z,scanner,https://target.example.com/.env,Suspicious,Allowed,-,sqlmap/1.6,10.0.0.250,GET,1,500
2026-05-07T08:03:03Z,scanner,https://target.example.com/wp-admin,Suspicious,Allowed,-,sqlmap/1.6,10.0.0.250,GET,1,500
2026-05-07T08:03:04Z,scanner,https://target.example.com/phpmyadmin,Suspicious,Allowed,-,sqlmap/1.6,10.0.0.250,GET,1,500
2026-05-07T08:03:05Z,scanner,https://target.example.com/server-status,Suspicious,Allowed,-,sqlmap/1.6,10.0.0.250,GET,1,500
2026-05-07T08:03:06Z,scanner,https://target.example.com/.git/config,Suspicious,Allowed,-,sqlmap/1.6,10.0.0.250,GET,1,500
2026-05-07T08:03:07Z,scanner,https://target.example.com/backup.zip,Suspicious,Allowed,-,sqlmap/1.6,10.0.0.250,GET,1,500
2026-05-07T08:03:08Z,scanner,https://target.example.com/config.php,Suspicious,Allowed,-,sqlmap/1.6,10.0.0.250,GET,1,500
2026-05-07T08:04:00Z,frank@corp.local,https://www.linkedin.com/feed,SocialMedia,Allowed,-,Mozilla/5.0,10.0.0.16,GET,28430,200
2026-05-07T08:05:00Z,grace@corp.local,https://drive.google.com/folder/x,CloudStorage,Allowed,-,Mozilla/5.0,10.0.0.17,GET,3421,200
2026-05-07T08:06:00Z,heidi@corp.local,https://accounts.google.com,Authentication,Allowed,-,Mozilla/5.0,10.0.0.18,GET,9120,200
2026-05-07T08:07:30Z,ivan@corp.local,https://app.slack.com/client,Collaboration,Allowed,-,Mozilla/5.0,10.0.0.19,POST,1024,200
2026-05-07T08:08:00Z,julia@corp.local,https://www.google.com/search?q=python,Search,Allowed,-,Mozilla/5.0,10.0.0.20,GET,4533,200
2026-05-07T08:10:00Z,unknown,http://198.51.100.7/cnc/heartbeat,C2/Botnet,Blocked,APT.Heartbeat,curl/7.81,10.0.0.99,POST,0,403
2026-05-07T08:11:00Z,backup,https://s3.amazonaws.com/our-bucket/db.sql.gz,CloudStorage,Allowed,-,aws-cli/2.0,10.0.0.30,PUT,9876543,200
2026-05-07T08:12:00Z,backup,https://s3.amazonaws.com/our-bucket/db.sql.gz,CloudStorage,Allowed,-,aws-cli/2.0,10.0.0.30,PUT,9876543,200
